OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1984-001H","COSMOS 1529","14618","CIS","115.68","74.01","1511","1461","MEDIUM","0","1984-01-05",""
"1984-001G","COSMOS 1528","14617","CIS","115.29","74.01","1477","1461","MEDIUM","0","1984-01-05",""
"1984-001F","COSMOS 1527","14616","CIS","115.10","74.01","1461","1459","MEDIUM","0","1984-01-05",""
"1984-001E","COSMOS 1526","14615","CIS","114.92","74.01","1461","1443","MEDIUM","0","1984-01-05",""
"1984-001D","COSMOS 1525","14614","CIS","114.75","74.01","1462","1427","MEDIUM","0","1984-01-05",""
"1984-001C","COSMOS 1524","14613","CIS","114.58","74.01","1462","1411","MEDIUM","0","1984-01-05",""
"1984-001B","COSMOS 1523","14612","CIS","114.41","74.01","1461","1396","MEDIUM","0","1984-01-05",""
"1984-001A","COSMOS 1522","14611","CIS","115.47","74.00","1492","1462","MEDIUM","0","1984-01-05",""
"1983-127H","SL-12 R/B(AUX MOTOR)","14608","CIS","296.77","51.63","16388","332","MEDIUM","0","1983-12-29",""
"1983-127G","SL-12 R/B(AUX MOTOR)","14607","CIS","314.52","52.10","17466","417","MEDIUM","0","1983-12-29",""
"1983-127F","SL-12 R/B(2)","14595","CIS","673.09","66.60","19228","18898","LARGE","0","1983-12-29",""
"1983-127C","COSMOS 1521 (GLONASS)","14592","CIS","673.41","66.62","19222","18921","MEDIUM","0","1983-12-29",""
"1983-127B","COSMOS 1520 (GLONASS)","14591","CIS","675.73","66.67","19188","19072","LARGE","0","1983-12-29",""
"1983-127A","COSMOS 1519 (GLONASS)","14590","CIS","675.74","66.67","19156","19104","LARGE","0","1983-12-29",""
"1982-087D","N-1 DEB","14569","JPN","106.22","44.84","1143","959","SMALL","0","1982-09-03",""
"1983-001C","SL-8 DEB","14568","CIS","100.82","82.90","816","779","SMALL","0","1983-01-12",""
"1977-065FR","DELTA 1 DEB","14565","US","115.58","29.20","2162","801","SMALL","0","1977-07-14",""
"1977-065FQ","DELTA 1 DEB","14564","US","111.64","28.70","1903","701","MEDIUM","0","1977-07-14",""
"1977-065FP","DELTA 1 DEB","14563","US","101.82","29.16","1193","497","SMALL","0","1977-07-14",""
"1978-026GG","DELTA 1 DEB","14559","US","97.09","99.01","648","590","SMALL","0","1978-03-05",""
"1981-053JN","COSMOS 1275 DEB","14558","CIS","101.16","82.93","829","798","SMALL","0","1981-06-04",""
"1981-053JM","COSMOS 1275 DEB","14557","CIS","101.73","82.80","877","804","SMALL","0","1981-06-04",""
"1981-053JL","COSMOS 1275 DEB","14556","CIS","105.34","83.01","1109","912","SMALL","0","1981-06-04",""
"1983-122B","SL-14 R/B","14552","CIS","97.03","82.53","627","606","LARGE","0","1983-12-15",""
"1983-122A","COSMOS 1515","14551","CIS","94.39","82.50","493","485","LARGE","0","1983-12-15",""
"1983-118F","SL-12 R/B(2)","14548","CIS","1435.68","10.75","35960","35597","MEDIUM","0","1983-11-30",""
"1983-120B","SL-8 R/B","14547","CIS","104.56","82.93","1008","940","LARGE","0","1983-12-08",""
"1983-120A","COSMOS 1513","14546","CIS","104.78","82.94","1012","956","LARGE","0","1983-12-08",""
"1983-118A","GORIZONT 8","14532","CIS","1465.32","11.72","36487","36226","LARGE","0","1983-11-30",""
"1983-089C","INSAT 1B R/B(PAM-D)","14524","US","354.24","24.38","20117","295","LARGE","0","1983-08-30",""
"1983-115B","SL-14 R/B","14522","CIS","115.98","73.62","1520","1480","LARGE","0","1983-11-24",""
"1983-115A","COSMOS 1510","14521","CIS","116.02","73.62","1523","1480","LARGE","0","1983-11-24",""
"1965-027M","OPS 4682 DEB","14515","US","111.05","90.25","1296","1253","SMALL","0","1965-04-03",""
"1977-012K","TANSEI 3 DEB","14512","JPN","133.73","65.74","3777","792","SMALL","0","1977-02-19",""
"1977-121BJ","COSMOS 970 DEB","14511","CIS","108.93","64.68","1281","1074","SMALL","0","1977-12-21",""
"1976-077ER","DELTA 1 DEB","14510","US","120.06","102.29","1863","1504","SMALL","0","1976-07-29",""
"1976-077EQ","DELTA 1 DEB","14509","US","118.79","102.23","1754","1499","MEDIUM","0","1976-07-29",""
"1983-113A","OPS 1294 (DMSP 5D-2 F7)","14506","US","100.81","98.30","805","789","LARGE","0","1983-11-18",""
"1981-053JJ","COSMOS 1275 DEB","14504","CIS","102.63","83.19","904","862","SMALL","0","1981-06-04",""
"1976-126BQ","COSMOS 886 DEB","14503","CIS","116.99","65.86","2348","744","SMALL","0","1976-12-27",""
"1976-126BP","COSMOS 886 DEB","14502","CIS","107.66","65.78","1696","541","SMALL","0","1976-12-27",""
"1976-126BN","COSMOS 886 DEB","14501","CIS","99.87","65.70","1013","492","SMALL","0","1976-12-27",""
"1977-065FN","DELTA 1 DEB","14497","US","119.41","29.29","2368","940","MEDIUM","0","1977-07-14",""
"1977-065FM","DELTA 1 DEB","14496","US","100.75","29.16","983","605","SMALL","0","1977-07-14",""
"1977-065FJ","DELTA 1 DEB","14493","US","104.15","28.95","1400","509","SMALL","0","1977-07-14",""
"1983-111A","COSMOS 1508","14483","CIS","103.29","82.91","1443","386","LARGE","0","1983-11-11",""
"1973-086GR","DELTA 1 DEB","14480","US","106.40","102.51","1177","944","SMALL","0","1973-11-06",""
"1970-025NW","THORAD AGENA D DEB","14478","US","114.95","100.84","1828","1078","SMALL","0","1970-04-08",""
"1974-089ER","THORAD DELTA 1 DEB","14475","US","114.39","101.04","1531","1324","SMALL","0","1974-11-15",""
"1974-089EQ","THORAD DELTA 1 DEB","14474","US","119.26","100.68","1871","1424","SMALL","0","1974-11-15",""
"1973-086GQ","DELTA 1 DEB","14473","US","116.29","102.53","1681","1346","SMALL","0","1973-11-06",""
"1976-077EP","DELTA 1 DEB","14472","US","118.39","102.68","1733","1484","SMALL","0","1976-07-29",""
"1976-077EN","DELTA 1 DEB","14471","US","117.54","102.32","1675","1466","SMALL","0","1976-07-29",""
"1973-086GP","DELTA 1 DEB","14470","US","112.24","101.82","1418","1241","SMALL","0","1973-11-06",""
"1970-025NV","THORAD AGENA D DEB","14469","US","110.20","101.68","1442","1030","SMALL","0","1970-04-08",""
"1970-025NT","THORAD AGENA D DEB","14467","US","105.63","100.13","1025","1022","SMALL","0","1970-04-08",""
"1970-025NS","THORAD AGENA D DEB","14466","US","100.19","99.98","813","722","SMALL","0","1970-04-08",""
"1978-026GF","DELTA 1 DEB","14465","US","102.27","98.69","951","780","SMALL","0","1978-03-05",""
"1978-026GE","DELTA 1 DEB","14464","US","103.32","99.50","960","871","SMALL","0","1978-03-05",""
"1978-026GD","DELTA 1 DEB","14463","US","101.90","98.99","942","755","SMALL","0","1978-03-05",""
"1978-026GB","DELTA 1 DEB","14461","US","101.27","99.25","888","750","SMALL","0","1978-03-05",""
"1978-026GA","DELTA 1 DEB","14460","US","106.08","98.75","1237","853","SMALL","0","1978-03-05",""
"1978-026FY","DELTA 1 DEB","14458","US","102.44","98.83","926","823","SMALL","0","1978-03-05",""
"1983-109C","SL-3 DEB","14454","CIS","100.99","81.16","873","738","SMALL","0","1983-10-28",""
"1983-109B","SL-3 R/B","14453","CIS","101.06","81.16","883","734","LARGE","0","1983-10-28",""
"1983-109A","METEOR 2-10","14452","CIS","100.93","81.16","867","739","LARGE","0","1983-10-28",""
"1983-108B","SL-8 R/B","14451","CIS","104.49","82.93","994","947","LARGE","0","1983-10-26",""
"1983-108A","COSMOS 1506","14450","CIS","104.62","82.93","1008","946","LARGE","0","1983-10-26",""
"1971-015CQ","COSMOS 397 DEB *","14446","CIS","105.65","65.57","1077","972","SMALL","0","1971-02-25",""
"1977-121BH","COSMOS 970 DEB","14445","CIS","100.96","66.48","864","744","SMALL","0","1977-12-21",""
"1977-121BG","COSMOS 970 DEB","14444","CIS","104.81","65.80","1022","949","SMALL","0","1977-12-21",""
"1977-121BF","COSMOS 970 DEB","14443","CIS","99.45","65.59","818","647","SMALL","0","1977-12-21",""
"1977-121BE","COSMOS 970 DEB","14442","CIS","104.47","65.37","975","964","SMALL","0","1977-12-21",""
"1981-053JH","COSMOS 1275 DEB","14441","CIS","102.51","83.12","911","844","SMALL","0","1981-06-04",""
"1981-053JG","COSMOS 1275 DEB","14440","CIS","105.69","82.92","1112","942","SMALL","0","1981-06-04",""
"1968-091CV","COSMOS 249 DEB","14430","CIS","111.22","62.25","1797","769","SMALL","0","1968-10-20",""
"1983-105A","INTELSAT 507","14421","ITSO","1444.48","13.35","35987","35914","LARGE","0","1983-10-19",""
"1968-097EB","COSMOS 252 DEB","14420","CIS","96.36","62.24","722","447","SMALL","0","1968-11-01",""
"1968-091CN","COSMOS 249 DEB","14412","CIS","112.45","62.29","1951","727","SMALL","0","1968-10-20",""
"1968-091CL","COSMOS 249 DEB","14410","CIS","104.49","62.22","1296","645","SMALL","0","1968-10-20",""
"1981-053JE","COSMOS 1275 DEB","14409","CIS","105.26","83.03","1100","913","SMALL","0","1981-06-04",""
"1981-053JD","COSMOS 1275 DEB","14408","CIS","105.12","82.96","1085","915","SMALL","0","1981-06-04",""
"1981-053JC","COSMOS 1275 DEB","14407","CIS","101.98","82.77","890","815","SMALL","0","1981-06-04",""
