OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2021-024AV","STARLINK-2294","48020","US","95.59","53.05","549","546","LARGE","0","2021-03-24",""
"2021-024AU","STARLINK-2285","48019","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024AT","STARLINK-2282","48018","US","95.59","53.05","549","546","LARGE","0","2021-03-24",""
"2021-024AR","STARLINK-2284","48016","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024AP","STARLINK-2283","48014","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024AN","STARLINK-2243","48013","US","95.59","53.05","548","546","LARGE","0","2021-03-24",""
"2021-024AM","STARLINK-2216","48012","US","92.66","53.05","407","402","LARGE","0","2021-03-24",""
"2021-024AL","STARLINK-2272","48011","US","95.59","53.05","549","546","LARGE","0","2021-03-24",""
"2021-024AK","STARLINK-2226","48010","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024AJ","STARLINK-2153","48009","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024AH","STARLINK-2271","48008","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024AE","STARLINK-2254","48005","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024AC","STARLINK-2263","48003","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024AB","STARLINK-2265","48002","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024Z","STARLINK-2270","48000","US","95.59","53.05","549","546","LARGE","0","2021-03-24",""
"2021-024Y","STARLINK-2218","47999","US","95.59","53.05","548","546","LARGE","0","2021-03-24",""
"2021-024X","STARLINK-2296","47998","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024W","STARLINK-2266","47997","US","95.59","53.05","548","546","LARGE","0","2021-03-24",""
"2021-024V","STARLINK-2260","47996","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024U","STARLINK-2309","47995","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024T","STARLINK-2290","47994","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024S","STARLINK-2273","47993","US","95.59","53.05","548","546","LARGE","0","2021-03-24",""
"2021-024R","STARLINK-2229","47992","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024Q","STARLINK-2279","47991","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024P","STARLINK-2307","47990","US","95.59","53.05","548","546","LARGE","0","2021-03-24",""
"2021-024N","STARLINK-2305","47989","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024J","STARLINK-2308","47985","US","95.59","53.05","548","546","LARGE","0","2021-03-24",""
"2021-024F","STARLINK-2317","47982","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024E","STARLINK-2303","47981","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"2021-024D","STARLINK-2312","47980","US","95.59","53.05","549","546","LARGE","0","2021-03-24",""
"2021-024C","STARLINK-2325","47979","US","95.59","53.06","549","546","LARGE","0","2021-03-24",""
"2021-024B","STARLINK-1647","47978","US","95.60","53.06","549","546","LARGE","0","2021-03-24",""
